University,Major,Key,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Percentage tuition covered,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Expense_To_Pay
Shanghai University of Traditional Chinese Medicine,Summer School (TCM),TCM,Non-Degree,English,7500,0,0,0,100,7500,Jun,2020,9750,1000
Changchun University of Science and Technology,Preparatory Program of Humanities Direction(Path A),Humanities,Non-Degree,Chinese,10000,0,0,10000,50,20000,Sep,2019,1500,1500
Changchun University of Science and Technology,Preparatory Program of Business Direction(Path A),Business,Non-Degree,Chinese,10000,0,0,10000,50,20000,Sep,2019,1500,1500
Changchun University of Science and Technology,Preparatory Program of Science and Engineering Direction(Path A),Other Engineering,Non-Degree,Chinese,10000,0,0,10000,50,20000,Sep,2019,1500,1500
Qingdao University,Long-term Chinese Language Program,Chinese Language,Non-Degree,Chinese,7000,1,1,0,100,7000,Sep,2019,0,0
Qingdao University,Long-term Chinese Language Program,Chinese Language,Non-Degree,Chinese,14000,1,1,0,100,14000,Sep,2019,0,0
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Business,Non-Degree,English,80000,0,0,40000,66.66666667,120000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Engineering,Non-Degree,English,80000,0,0,40000,66.66666667,120000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Business,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Engineering,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Engineering,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Business,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
Zhengzhou University of Light Industry,Chinese Language Program,Chinese Language,Non-Degree,Chinese,7500,0,0,1500,83.33333333,9000,Sep,2019,1000,1500
Zhengzhou University of Light Industry,Chinese Language Program,Chinese Language,Non-Degree,Chinese,7500,0,0,1500,83.33333333,9000,Sep,2019,1000,1500
Beijing Chinese Language and Culture College,Chinese Language Class,Chinese Language,Non-Degree,Chinese,3000,0,0,14700,16.94915254,17700,Sep,2019,1700,1000
Beijing Chinese Language and Culture College,Chinese Language Class,Chinese Language,Non-Degree,Chinese,3000,0,0,5100,37.03703704,8100,Sep,2019,1700,1000
Ningbo University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,6000,0,0,10000,37.5,16000,Sep,2019,750,1000
Changchun University of Technology,Long-Term Chinese Training Program,Chinese Language,Non-Degree,Chinese,5000,0,0,5000,50,10000,Mar,2020,2500,1000
Shandong Polytechnic College,Chinese and Culture Program,Chinese Language,Non-Degree,Chinese,6000,0,0,2000,75,8000,Sep,2019,3000,1500
China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Management,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering, Geology,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering, Geology,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering,Geology,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering, Geology,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
Changchun University of Technology,Long-Term Chinese Training Program,Chinese Language,Non-Degree,Chinese,5000,0,0,5000,50,10000,Sep,2019,2500,1000
Changchun University of Technology,Long-Term Chinese Training Program,Chinese Language,Non-Degree,Chinese,5000,0,0,5000,50,10000,Sep,2019,2500,1000
Beijing Film Academy,"""Belt and Road"" Photography Program",Arts,Non-Degree,English,46000,0,0,0,100,46000,Sep,2019,2400,2200
Zhejiang A & F University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,6000,0,0,8400,41.66666667,14400,Sep,2019,360,1000
Zhejiang A & F University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,3000,0,0,3600,45.45454545,6600,Sep,2019,360,1000
China University of Petroleum - Beijing,(Top 300 Program)Geology, Geology,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering, Oil and Gas,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance, Finance,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
Tianjin International Chinese College,Preparatory Education,Education,Non-Degree,Chinese,4000,0,0,10000,28.57142857,14000,Sep,2019,2000,1500
Nanchang University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,6500,1,0,6500,50,13000,Sep,2019,0,1500
China University of Petroleum - Beijing,(Top 300 Program)Geophysics, Geophysics,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology, Chemical Engineering,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics, Economics,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering, Oil and Gas,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Management,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance,Finance,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geology,Geology,Non-Degree,English,12500,1,1,0,100,12500,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Geophysics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology,Chemical Engineering,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering,Oil and Gas,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Management,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics,Economics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance, Finance,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
Changzhou Institute of Technology,Long-term Program for Chinese Language Study,Chinese Language,Non-Degree,Chinese,0,1,0,24000,0,24000,Sep,2019,4000,1500
Changzhou Institute of Technology,Long-term Program for Chinese Language Study,Chinese Language,Non-Degree,Chinese,0,1,0,24000,0,24000,Sep,2019,4000,1500
China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Geophysics,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance, Finance,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics, Economics,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology, Chemical Engineering,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geology, Geology,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology, Chemical Engineering,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geophysics, Geophysics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering, Oil and Gas,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics, Economics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,21000,1,1,0,100,21000,Sep,2019,0,0
China University of Petroleum - Beijing,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,10500,1,1,0,100,10500,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geology,Geology,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
Xi'an International Studies University,Long-term Chinese Language Program,Chinese Language ,Non-Degree,Chinese,10000,0,0,4600,68.49315068,14600,Sep,2019,1800,1500
Changchun University of Science and Technology,International Economics and Trade,Economics,Bachelor,English,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Visual Communication Design,Visual Communication Design,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Social work,Social work,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Law,Law,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Product Design,Product Design,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Environmental Design,Environmental Science,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Chinese Language & Literature,Chinese Language,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Advertising,Advertising,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Accounting,Accounting,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Information Management and Information System,Information Management and Information System,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Financial Management,Finance,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Marketing,Marketing,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Business Administration,Business Administration,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Economics,Economics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Financial Engineering,Finance,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,International Economics &Trade,Economics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Biotechnology,Biotechnology,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Bioengineering,Biotechnology,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Biomedical Engineering,Other Engineering,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Applied Chemistry,Chemistry,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Chemical Engineering and Technology,Chemical Engineering,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,New Energy Materials and Devices,Material Science,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Functional Materials,Material Science,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Material Chemistry,Material Science,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Inorganic Nonmetal Materials Engineering,Material Science,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Software Engineering,Software Engineering,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Computer Science and Technology,Computer Science,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Automation,Automation,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Electrical Engineering and Automation,Electrical Engineering,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Telecommunications Engineering,Telecommunications Engineering,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Optoelectronic Information Science and Engineering,Electronics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Measurement Control Technology and Instrument,Measurement Control Technology and Instrument,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Mechatronic Engineering,Other Engineering,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Electronics  and Information Engineering,Electronics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Electronic Information Science and Technology,Electronics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Microelectronics Science and Engineering,Electronics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Electronic Science and Technology,Electronics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
China University of Geosciences (Wuhan),Television Broadcasting Science,Television Broadcasting Science,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Business Administration,Business Administration,Bachelor,English,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Telecommunication Engineering,Other Engineering,Bachelor,English,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Remote Sensing Science and Technology,Remote Sensing Science and Technology,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Physics,Physics,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Information and Science of Computation,Information and Science of Computation,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Gemology and Material Crafts,Arts,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Computer Science and Technology,Computer Science,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Network Engineering,Other Engineering,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Software Engineering,Software Engineering,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Musicology,Arts,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),International Economy and Trading,Economics,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Statistics,Statistics,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),English,English,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Public Administration,Public Administration,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Law,Law,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Administration Management,Administration Management,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Industrial Design,Industrial Design,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Automation,Automation,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Geological Information Science and Technology,Geology,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
China University of Geosciences (Wuhan),Surveying Engineering,Other Engineering,Bachelor,Chinese,15200,0,0,6800,69.09090909,22000,Sep,2019,700,1000
Changchun University of Science and Technology,Mathematics and Applied Mathematics,Mathematics ,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Applied Physics,Physics,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Changchun University of Science and Technology,Information and Computational Science,Computer Science,Bachelor,Chinese,5550,0,0,12950,30,18500,Sep,2019,4800,1750
Zhejiang A & F University,B.Ag. in Forestry,Forestry,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Veterinary medicine,Medicine,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Machine Designing and Manufacturing and Automation,Automation,Bachelor,English,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Business administration,Business administration,Bachelor,English,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Computer Science and Technology,Computer Science,Bachelor,English,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. A. in English,English,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. A. in Management in Urban Management,Management,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Civil Engineering,Civil Engineering,Bachelor,English,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,International Economics and Trade,Economics,Bachelor,English,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B Sc in Applied Chemistry,Chemistry,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B Sc in Statistics,Statistics,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B Sc in Information and Computer Science,Computer Science,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. A. in Japanese, Japanese,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Eng. in Electronic Information Engineering,Electronics,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Eng. in Computer Science and Technology,Computer Science,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B Sc in Information Management and Systems,Information Management and Systems,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Eng. in Internet of Things Engineering  ,Other Engineering  ,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Bachelor in Business Administration,Business Administration,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Bachelor of Economics in International Economics and Trade,Economics,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B B A in Agricultural & Forestry Economics and Management,Economics,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.A. in Chinese Linguistic Literature,Chinese Language ,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B B A in E-Business,Business,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B B A in Accounting,Accounting,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.A. in Advertising,Advertising,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Bachelor in Law,Law,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.A. in Art Design in Fashion Design,Fashion,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. A. in Management in Marketing,Marketing,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. Eng. in Environmental Engineering,Environmental Science,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.A. in Art Design in Visual Communication,Arts,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. A. in Art Digital Media Art  ,Arts,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B Sc in Geographic Information Systems,Geography,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. A. in Art Environmental Designï¼ˆFor Horticulture and Gardeningï¼‰,Arts,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Agricultural Resources and Environment,Agricultural Resources and Environment,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Agriculture,Agriculture,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Horticulture,Horticulture,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Plant Protection,Plant Protection,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. Eng. in Food Science and Engineering,Food,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.BA in Tourism Management,Tourism,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.BA in Management of the Tea Culture Industry,Tea Studies,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Shandong Jianzhu University,Business Administration,Business Administration,Bachelor,Chinese,9000,0,0,12000,42.85714286,21000,Sep,2019,1500,500
Shandong Jianzhu University,Business Administration,Business Administration,Bachelor,English,9000,0,0,12000,42.85714286,21000,Sep,2019,1500,500
Zhejiang A & F University,B Sc in Human Geography and Urban&Rural Area Programming,Geography,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Eng. in Civil Engineering,Civil Engineering,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Eng. in Architecture,Architecture,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. Eng. In Surveying Engineering  ,Other Engineering  ,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Horticulture and Gardening,Horticulture and Gardening,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. Eng. in Industry Design,Industry Design,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Ecology,Ecology,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Eng. in Wood Science and Engineering,Other Engineering,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B. Eng. in Molecular Material and Engineering,Material Science,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Eng. in Machine Designing & Manufacturing & Automation,Automation,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Animal Science,Animal Science,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Forestry Protection,Forestry Protection,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B Sc in Biological Technology,Biotechnology,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Chinese Medicine,Medicine,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,Food Quality and Safety,Food,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.Ag. in Tea Science,Tea Studies,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Zhejiang A & F University,B.A. in Art Design (Garden Art Design),Arts,Bachelor,Chinese,8300,0,0,8300,50,16600,Sep,2019,360,1000
Shandong Jianzhu University,Thermal Energy and Power Engineering,Other Engineering,Bachelor,Chinese,9000,0,0,12000,42.85714286,21000,Sep,2019,1500,500
Shandong Jianzhu University,Civil Engineering,Civil Engineering,Bachelor,English,9000,0,0,12000,42.85714286,21000,Sep,2019,1500,500
Qingdao University,Bachelor of Software Engineering , Software Engineering ,Bachelor,English,20000,0,0,0,100,20000,Aug,2019,958,1250
Qingdao University,Bachelor's Program of Chinese Language,Chinese Language,Bachelor,Chinese,18000,1,1,4500,80,22500,Sep,2019,0,0
Zhengzhou University,Civil Engineering,Civil Engineering,Bachelor,English,30000,0,0,0,100,30000,Sep,2019,1125,1000
Zhengzhou University,Pharmacy,Pharmacy,Bachelor,English,30000,0,0,0,100,30000,Sep,2019,1125,1000
Zhengzhou University,Software Engineering,Software Engineering,Bachelor,English,30000,0,0,0,100,30000,Sep,2019,1125,1000
Zhejiang Normal University,Financial Management,Finance,Bachelor,English,16800,0,0,5200,76.36363636,22000,Sep,2019,500,1500
Zhejiang Normal University,Computer Science and Technology,Computer Science,Bachelor,English,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Environmental Science and Engineering,Environmental Science,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Teaching Chinese to Foreigners as a Second Language,Teaching Chinese to Foreigners as a Second Language,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Business Administration,Business Administration,Bachelor,English,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Computer Science and Technology,Computer Science,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University, Electronic Business,Electronics,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Electronic and Information Engineering,Electronics,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Chemistry,Chemistry,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Material Science and Engineering,Material Science,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
Zhejiang Normal University,Chinese Language,Chinese Language,Bachelor,Chinese,20000,0,0,5200,79.36507937,25200,Sep,2019,825,1500
