University,Major,Key,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Percentage tuition covered,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Expense_To_Pay
Northeast Petroleum University,Offshore Oil and Gas Engineering,Oil and Gas,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Oil and Gas Storage and Transportation Engineering,Oil and Gas,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Petroleum Engineering,Other Engineering,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Geology,Geology,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Geochemistry,Geochemistry,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Business Administration,Business Administration,Bachelor,English,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Automation,Automation,Bachelor,English,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,"Mechanical Design, Manufacture and Automation",Automation,Bachelor,English,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Exploration Technology and Engineering,Other Engineering,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Northeast Petroleum University,Resource Exploration Engineering,Other Engineering,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Nanjing University of Aeronautics and Astronautics,International Business ,International Business ,Bachelor,English,10000,1,0,13900,41.84100418,23900,Sep,2019,4000,1500
Nanjing University of Aeronautics and Astronautics,Mechanical Engineering,Mechanical Engineering,Bachelor,English,10000,1,0,13900,41.84100418,23900,Sep,2019,4000,1500
Nanjing University of Aeronautics and Astronautics,Aeronautical Engineering,Other Engineering,Bachelor,English,10000,1,0,13900,41.84100418,23900,Sep,2019,4000,1500
Dongguan University of Technology,Manufacturing and Automation,Automation,Bachelor,English,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Communication Engineering,Other Engineering,Bachelor,English,22500,0,0,0,100,22500,Sep,2019,5000,900
